,M+1,M+2,M+3,M+4
176,0.002,0.078,0.006,0.002
177,0.002,0.078,0.006,0.002
178,0.002,0.084,0.008,0.002
179,0.002,0.088,0.008,0.002
180,0.002,0.092,0.006,0.002
181,0.002,0.094,0.006,0.002
182,0.002,0.094,0.006,0.0
183,0.002,0.09,0.006,0.0
184,0.002,0.088,0.006,0.0
185,0.002,0.09,0.006,0.0
186,0.002,0.088,0.006,0.0
187,0.002,0.09,0.004,0.0
188,0.002,0.09,0.004,0.0
189,0.002,0.088,0.004,0.0
190,0.002,0.088,0.006,0.002
191,0.002,0.092,0.006,0.002
192,0.0,0.09,0.006,0.002
193,0.0,0.096,0.006,0.002
194,0.0,0.108,0.004,0.002
195,0.0,0.112,0.006,0.004
196,0.0,0.112,0.006,0.004
197,0.0,0.106,0.006,0.006
198,0.0,0.104,0.006,0.006
199,0.0,0.106,0.006,0.006
200,0.0,0.1,0.006,0.006
201,0.0,0.1,0.006,0.004
202,0.0,0.094,0.006,0.002
203,0.0,0.098,0.006,0.002
204,0.0,0.1,0.006,0.002
205,0.0,0.094,0.006,0.002
206,0.0,0.096,0.006,0.002
207,0.0,0.094,0.006,0.0
208,0.0,0.092,0.006,0.0
209,0.0,0.09,0.008,0.0
210,0.0,0.094,0.008,0.0
211,0.0,0.1,0.008,0.0
212,0.0,0.102,0.006,0.0
213,0.0,0.102,0.006,0.0
214,0.0,0.106,0.006,0.0
215,0.0,0.104,0.006,0.002
216,0.0,0.104,0.006,0.002
217,0.0,0.106,0.006,0.004
218,0.0,0.112,0.006,0.004
219,0.0,0.108,0.006,0.006
220,0.0,0.112,0.006,0.004
221,0.0,0.104,0.006,0.004
222,0.0,0.102,0.008,0.002
223,0.0,0.108,0.008,0.002
224,0.0,0.104,0.008,0.002
225,0.0,0.106,0.01,0.002
226,0.0,0.1,0.01,0.002
227,0.0,0.106,0.01,0.004
228,0.0,0.1,0.01,0.004
229,0.0,0.098,0.008,0.004
230,0.0,0.106,0.008,0.004
231,0.0,0.11,0.008,0.004
232,0.0,0.108,0.008,0.004
233,0.0,0.108,0.008,0.004
234,0.0,0.102,0.006,0.006
235,0.0,0.114,0.006,0.008
236,0.0,0.116,0.006,0.008
237,0.002,0.112,0.006,0.008
238,0.002,0.114,0.008,0.008
239,0.002,0.11,0.008,0.012
240,0.002,0.106,0.008,0.012
241,0.002,0.112,0.008,0.01
242,0.002,0.106,0.01,0.008
243,0.002,0.108,0.012,0.008
244,0.002,0.108,0.01,0.008
245,0.002,0.112,0.01,0.008
246,0.002,0.104,0.01,0.008
247,0.002,0.102,0.01,0.008
248,0.002,0.106,0.01,0.008
249,0.002,0.098,0.01,0.006
250,0.004,0.102,0.01,0.006
251,0.004,0.098,0.01,0.006
252,0.004,0.106,0.014,0.006
253,0.004,0.106,0.014,0.006
254,0.004,0.118,0.014,0.006
255,0.004,0.118,0.014,0.006
256,0.002,0.116,0.014,0.006
257,0.002,0.124,0.014,0.006
258,0.002,0.124,0.016,0.006
259,0.0,0.122,0.018,0.004
260,0.0,0.122,0.018,0.004
261,0.0,0.128,0.02,0.004
262,0.0,0.128,0.02,0.002
263,0.0,0.126,0.018,0.004
264,0.0,0.124,0.018,0.004
265,0.0,0.124,0.018,0.004
266,0.0,0.124,0.02,0.004
267,0.0,0.12,0.018,0.004
268,0.0,0.116,0.018,0.004
269,0.0,0.118,0.018,0.004
270,0.0,0.122,0.016,0.004
271,0.0,0.116,0.014,0.004
272,0.0,0.116,0.014,0.004
273,0.0,0.116,0.014,0.002
274,0.0,0.108,0.014,0.002
275,0.0,0.106,0.014,0.004
276,0.0,0.108,0.012,0.004
277,0.0,0.102,0.012,0.004
278,0.002,0.09,0.012,0.004
279,0.002,0.09,0.012,0.002
280,0.002,0.1,0.014,0.002
281,0.004,0.104,0.014,0.002
282,0.004,0.102,0.012,0.002
283,0.004,0.102,0.01,0.004
284,0.004,0.1,0.008,0.004
285,0.004,0.108,0.008,0.002
286,0.004,0.11,0.008,0.004
287,0.004,0.104,0.012,0.004
288,0.004,0.112,0.012,0.004
289,0.004,0.11,0.012,0.006
290,0.004,0.114,0.012,0.006
291,0.004,0.118,0.012,0.006
292,0.004,0.12,0.01,0.004
293,0.004,0.122,0.01,0.004
294,0.004,0.118,0.01,0.004
295,0.004,0.12,0.012,0.004
296,0.004,0.118,0.014,0.006
297,0.002,0.118,0.014,0.008
298,0.002,0.118,0.012,0.008
299,0.002,0.114,0.012,0.008
300,0.002,0.116,0.014,0.008
301,0.002,0.114,0.012,0.006
302,0.002,0.116,0.012,0.006
303,0.002,0.114,0.014,0.006
304,0.002,0.118,0.012,0.01
305,0.002,0.12,0.012,0.008
306,0.002,0.12,0.012,0.008
307,0.002,0.12,0.012,0.006
308,0.002,0.118,0.012,0.006
309,0.002,0.116,0.012,0.006
310,0.002,0.102,0.01,0.006
311,0.002,0.11,0.01,0.006
312,0.002,0.112,0.01,0.006
313,0.002,0.114,0.012,0.008
314,0.004,0.124,0.01,0.004
315,0.004,0.128,0.01,0.004
316,0.004,0.126,0.01,0.006
317,0.004,0.122,0.01,0.006
318,0.004,0.132,0.01,0.006
319,0.006,0.126,0.006,0.004
320,0.006,0.132,0.006,0.004
321,0.006,0.138,0.006,0.004
322,0.006,0.136,0.006,0.004
323,0.002,0.132,0.006,0.004
324,0.002,0.13,0.006,0.004
325,0.002,0.132,0.01,0.004
326,0.002,0.13,0.01,0.006
327,0.002,0.134,0.01,0.006
328,0.002,0.13,0.012,0.008
