,M+1,M+2,M+3
199,0.00975,0.00225,0.354
200,0.00975,0.00225,0.3545
201,0.01,0.00225,0.35525
202,0.0105,0.00225,0.356
203,0.01075,0.00225,0.357
204,0.01075,0.00225,0.3585
205,0.011,0.00225,0.35875
206,0.0115,0.00225,0.3595
207,0.01175,0.00225,0.3605
208,0.01175,0.0025,0.3625
209,0.01175,0.003,0.3635
210,0.012,0.003,0.36525
211,0.012,0.003,0.36625
212,0.01275,0.003,0.36775
213,0.01275,0.00325,0.3685
214,0.01275,0.00325,0.369
215,0.013,0.00325,0.3695
216,0.01325,0.00325,0.37125
217,0.01325,0.00325,0.3715
218,0.01375,0.0035,0.37225
219,0.01425,0.0035,0.37275
220,0.01475,0.0035,0.374
221,0.01475,0.0035,0.375
222,0.015,0.0035,0.37575
223,0.015,0.0035,0.3775
224,0.015,0.0035,0.3795
225,0.01525,0.0035,0.3805
226,0.01525,0.0035,0.3825
227,0.01575,0.0035,0.3835
228,0.01575,0.00325,0.38425
229,0.0155,0.00325,0.38625
230,0.0155,0.0035,0.38775
231,0.0155,0.0035,0.3885
232,0.01575,0.0035,0.38975
233,0.016,0.0035,0.39075
234,0.01575,0.0035,0.39225
235,0.016,0.0035,0.39325
236,0.0165,0.00375,0.395
237,0.01675,0.00375,0.3955
238,0.017,0.00375,0.39625
239,0.017,0.00375,0.39725
240,0.01725,0.00375,0.39825
241,0.01725,0.004,0.3985
242,0.0175,0.004,0.4
243,0.01775,0.00425,0.40025
244,0.018,0.00425,0.40175
245,0.01825,0.0045,0.40275
246,0.01875,0.0045,0.4035
247,0.01875,0.00425,0.40475
248,0.0195,0.004,0.4065
249,0.02,0.004,0.4075
250,0.02,0.004,0.40775
251,0.02025,0.004,0.408
252,0.02025,0.004,0.409
253,0.0205,0.004,0.41
254,0.02075,0.004,0.41075
255,0.0205,0.004,0.4115
256,0.02075,0.004,0.4125
257,0.02075,0.004,0.4135
258,0.0215,0.004,0.414
259,0.0215,0.00425,0.415
260,0.0215,0.00425,0.4165
261,0.022,0.0045,0.4175
262,0.02225,0.00475,0.4185
263,0.022,0.005,0.41925
264,0.02225,0.005,0.42
265,0.02225,0.005,0.4215
266,0.0225,0.005,0.42175
267,0.023,0.005,0.42275
268,0.023,0.005,0.42375
269,0.0235,0.00475,0.42525
270,0.02375,0.00475,0.4265
