,M+1,M+2,M+3,M+4,M+5
0,,,,,
1,,,,,
2,,,,,
3,,,,,
4,,,,,
5,,,,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,0.0,0.0,0.0,1.0,0.0
11,0.0,0.5,0.0,0.5,0.0
12,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
13,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
14,0.0,0.8,0.0,0.2,0.0
15,0.0,0.8,0.0,0.2,0.0
16,0.0,0.8571428571428571,0.0,0.14285714285714288,0.0
17,0.0,0.8571428571428571,0.0,0.14285714285714288,0.0
18,0.0,0.8571428571428571,0.0,0.14285714285714288,0.0
19,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0
20,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0
21,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0
22,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0
23,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0
24,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0
25,0.0,0.923076923076923,0.0,0.07692307692307693,0.0
26,0.0,0.9285714285714285,0.0,0.07142857142857144,0.0
27,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0
28,0.0,0.9333333333333333,0.0,0.06666666666666667,0.0
29,0.0,0.9375,0.0,0.0625,0.0
30,0.0,0.9375,0.0,0.0625,0.0
31,0.0,0.9375,0.0,0.0625,0.0
32,0.0,0.9444444444444444,0.0,0.05555555555555556,0.0
33,0.0,0.95,0.0,0.05,0.0
34,0.0,0.95,0.0,0.05,0.0
35,0.0,0.95,0.0,0.05,0.0
36,0.0,0.9545454545454546,0.0,0.04545454545454546,0.0
37,0.0,0.9565217391304348,0.0,0.04347826086956522,0.0
38,0.0,0.9565217391304348,0.0,0.04347826086956522,0.0
39,0.0,0.9565217391304348,0.0,0.04347826086956522,0.0
40,0.0,0.9583333333333334,0.0,0.04166666666666667,0.0
41,0.0,0.9615384615384616,0.0,0.038461538461538464,0.0
42,0.0,0.962962962962963,0.0,0.03703703703703704,0.0
43,0.0,0.9655172413793104,0.0,0.03448275862068966,0.0
44,0.0,0.967741935483871,0.0,0.03225806451612904,0.0
45,0.0,0.96875,0.0,0.03125000000000001,0.0
46,0.0,0.9696969696969697,0.0,0.030303030303030304,0.0
47,0.0,0.9696969696969697,0.0,0.030303030303030304,0.0
48,0.0,0.9714285714285715,0.0,0.028571428571428577,0.0
49,0.0,0.9714285714285715,0.0,0.028571428571428577,0.0
50,0.0,0.9714285714285715,0.0,0.028571428571428577,0.0
51,0.0,0.9722222222222223,0.0,0.02777777777777778,0.0
52,0.0,0.9722222222222223,0.0,0.02777777777777778,0.0
53,0.0,0.972972972972973,0.0,0.027027027027027032,0.0
54,0.0,0.9743589743589745,0.0,0.025641025641025644,0.0
