,M+1,M+2,M+3,M+4
160,0.0,0.0464,0.012,0.0012
161,0.0,0.0464,0.012,0.0012
162,0.0004,0.0468,0.012,0.0012
163,0.0004,0.0472,0.0128,0.0012
164,0.0004,0.0456,0.0124,0.0012
165,0.0004,0.046,0.0128,0.0008
166,0.0004,0.0468,0.0124,0.0008
167,0.0004,0.048,0.0124,0.0008
168,0.0004,0.0492,0.0128,0.0008
169,0.0004,0.05,0.0124,0.0008
170,0.0004,0.0512,0.012,0.0008
171,0.0,0.0536,0.0128,0.0008
172,0.0,0.056,0.0128,0.0008
173,0.0,0.056,0.0128,0.0012
174,0.0,0.0556,0.0132,0.0012
175,0.0,0.0548,0.0128,0.0016
176,0.0,0.0552,0.0128,0.0016
177,0.0,0.0548,0.0128,0.0016
178,0.0,0.0556,0.0132,0.0016
179,0.0,0.054,0.0136,0.0016
180,0.0,0.0544,0.014,0.0016
181,0.0,0.0544,0.0144,0.0016
182,0.0,0.056,0.014,0.002
183,0.0,0.0552,0.014,0.002
184,0.0,0.0576,0.0136,0.002
185,0.0,0.0572,0.0128,0.002
186,0.0,0.0592,0.012,0.002
187,0.0,0.0592,0.0132,0.002
188,0.0004,0.0592,0.0132,0.002
189,0.0004,0.06,0.0136,0.002
190,0.0004,0.06,0.0136,0.002
191,0.0004,0.0592,0.014,0.002
192,0.0008,0.0604,0.0152,0.0016
193,0.0008,0.06,0.0148,0.0016
194,0.0008,0.0596,0.016,0.0016
195,0.0008,0.0576,0.0156,0.002
196,0.0008,0.0564,0.0148,0.002
197,0.0008,0.0592,0.0148,0.0016
198,0.0008,0.0596,0.0148,0.0016
199,0.0008,0.0588,0.0148,0.0016
200,0.0008,0.0616,0.0148,0.0016
201,0.0008,0.062,0.0152,0.002
202,0.0008,0.0636,0.0152,0.0024
203,0.0008,0.0648,0.0148,0.0024
204,0.0008,0.0656,0.0152,0.0024
205,0.0008,0.0676,0.016,0.0024
206,0.0008,0.068,0.0164,0.0024
207,0.0008,0.0704,0.0164,0.0024
208,0.0008,0.0704,0.0168,0.0024
209,0.0008,0.0704,0.0172,0.0024
210,0.0008,0.072,0.0172,0.0024
211,0.0008,0.0708,0.0172,0.0024
212,0.0008,0.0712,0.0172,0.0024
213,0.0008,0.0712,0.0168,0.0024
214,0.0008,0.0708,0.0172,0.0024
215,0.0008,0.0716,0.0168,0.0024
216,0.0008,0.0712,0.016,0.0024
217,0.0008,0.07,0.0164,0.0024
218,0.0008,0.0704,0.016,0.0024
219,0.0008,0.0716,0.0168,0.002
220,0.0008,0.0716,0.0172,0.002
221,0.0008,0.0732,0.0176,0.0016
222,0.0008,0.074,0.018,0.002
223,0.0008,0.074,0.018,0.002
224,0.0008,0.0744,0.018,0.002
225,0.0008,0.074,0.0176,0.0024
226,0.0008,0.0752,0.0164,0.0024
227,0.0008,0.0752,0.0168,0.0024
228,0.0008,0.076,0.0168,0.0024
229,0.0008,0.0776,0.0168,0.0024
230,0.0008,0.0768,0.0168,0.0024
231,0.0008,0.0764,0.0176,0.0028
232,0.0008,0.0768,0.0172,0.0028
233,0.0008,0.078,0.0172,0.0028
234,0.0008,0.0788,0.0172,0.0028
235,0.0008,0.0772,0.0168,0.0028
236,0.0008,0.0772,0.0168,0.0028
237,0.0008,0.0768,0.0168,0.0024
238,0.0008,0.0764,0.0172,0.0024
239,0.0008,0.0764,0.0168,0.002
240,0.0008,0.0776,0.0168,0.002
241,0.0008,0.0776,0.0156,0.0024
242,0.0008,0.08,0.016,0.0028
243,0.0008,0.0804,0.0148,0.0028
244,0.0008,0.0804,0.0156,0.0024
245,0.0008,0.0796,0.016,0.0024
246,0.0008,0.0804,0.016,0.0028
247,0.0008,0.0812,0.0164,0.0028
248,0.0008,0.0808,0.0172,0.0028
249,0.0008,0.0824,0.0168,0.0028
250,0.0008,0.0816,0.0168,0.0032
251,0.0008,0.0816,0.0168,0.0032
252,0.0008,0.0804,0.016,0.0032
253,0.0008,0.0812,0.0152,0.0032
254,0.0008,0.0804,0.0156,0.0032
255,0.0008,0.0792,0.0156,0.0032
256,0.0012,0.0788,0.0152,0.0032
257,0.0012,0.0776,0.0152,0.0036
258,0.0012,0.0796,0.0152,0.0036
259,0.0016,0.0812,0.0152,0.004
260,0.0016,0.0808,0.0152,0.004
261,0.0016,0.0808,0.0152,0.004
262,0.0016,0.0816,0.0156,0.0044
263,0.0016,0.0832,0.016,0.0044
264,0.0016,0.0832,0.0164,0.004
265,0.0016,0.0824,0.016,0.0036
266,0.0016,0.0828,0.0156,0.0044
267,0.0016,0.0832,0.0156,0.0044
268,0.0016,0.0836,0.0156,0.0044
269,0.0016,0.084,0.016,0.0044
270,0.0016,0.0836,0.0164,0.0044
271,0.0016,0.0848,0.0172,0.0044
272,0.0016,0.0852,0.0172,0.0044
273,0.0016,0.0844,0.018,0.0044
274,0.0016,0.086,0.0176,0.0044
275,0.0016,0.0856,0.018,0.0044
276,0.0016,0.086,0.0184,0.0044
277,0.0016,0.0868,0.0188,0.004
278,0.0012,0.0872,0.0188,0.004
279,0.0012,0.0872,0.0188,0.0044
280,0.0012,0.0864,0.0176,0.004
281,0.0008,0.0864,0.0176,0.004
282,0.0008,0.0876,0.018,0.004
283,0.0008,0.0872,0.0188,0.004
284,0.0004,0.0864,0.0192,0.004
285,0.0004,0.0844,0.0192,0.0044
286,0.0004,0.0872,0.0192,0.004
287,0.0004,0.088,0.0188,0.004
288,0.0004,0.0864,0.0188,0.004
289,0.0004,0.0876,0.0184,0.0036
290,0.0004,0.0856,0.0188,0.0032
291,0.0004,0.0852,0.0192,0.0032
292,0.0004,0.0868,0.0188,0.0036
293,0.0004,0.0876,0.02,0.0036
294,0.0004,0.0884,0.02,0.0032
295,0.0004,0.0884,0.0196,0.0032
296,0.0004,0.0892,0.0192,0.0032
297,0.0008,0.0892,0.0192,0.0032
298,0.0008,0.0884,0.02,0.0032
299,0.0008,0.0896,0.0196,0.0032
300,0.0008,0.0892,0.0192,0.0032
301,0.0008,0.09,0.0192,0.0036
302,0.0008,0.0912,0.0196,0.0036
303,0.0008,0.0912,0.0196,0.0036
304,0.0008,0.0916,0.02,0.0032
305,0.0008,0.0924,0.0204,0.0036
306,0.0008,0.092,0.0204,0.004
307,0.0008,0.0912,0.0208,0.0044
308,0.0008,0.0916,0.02,0.0044
309,0.0008,0.092,0.0208,0.0044
310,0.0008,0.0956,0.0208,0.0044
311,0.0008,0.0956,0.0212,0.0044
312,0.0008,0.0964,0.0212,0.0044
313,0.0008,0.0952,0.022,0.0044
314,0.0008,0.094,0.022,0.0052
315,0.0008,0.094,0.022,0.0052
316,0.0008,0.096,0.0224,0.0052
317,0.0008,0.0952,0.0228,0.0052
318,0.0012,0.0936,0.0228,0.0052
319,0.0012,0.0952,0.024,0.0056
320,0.0012,0.0952,0.0236,0.0056
321,0.0012,0.0928,0.0236,0.0056
322,0.0012,0.0928,0.024,0.0056
323,0.002,0.0924,0.0244,0.0056
324,0.002,0.0936,0.0236,0.0056
325,0.002,0.094,0.0228,0.0056
326,0.002,0.0952,0.0232,0.0056
327,0.002,0.096,0.0232,0.006
328,0.002,0.096,0.022,0.006
329,0.002,0.0952,0.0224,0.0064
330,0.002,0.0944,0.0216,0.0072
331,0.002,0.0964,0.022,0.0068
332,0.002,0.0968,0.0228,0.0068
333,0.002,0.0972,0.022,0.0068
334,0.002,0.0968,0.0212,0.0064
335,0.0024,0.0952,0.0224,0.0064
336,0.0024,0.0964,0.022,0.0064
337,0.0024,0.0972,0.0228,0.0064
338,0.0024,0.0956,0.0224,0.0064
339,0.0024,0.0952,0.0228,0.006
340,0.0024,0.0968,0.0232,0.006
341,0.0024,0.098,0.0228,0.006
342,0.0024,0.098,0.0224,0.0064
343,0.0024,0.0992,0.022,0.0064
344,0.0024,0.0984,0.0224,0.0064
345,0.0024,0.098,0.0224,0.006
346,0.002,0.0988,0.0224,0.006
347,0.002,0.0988,0.0232,0.006
348,0.002,0.0996,0.0228,0.006
349,0.002,0.1,0.0228,0.006
350,0.002,0.1008,0.0232,0.006
351,0.0024,0.1012,0.0224,0.006
352,0.0024,0.102,0.0228,0.006
353,0.0024,0.102,0.0236,0.006
354,0.0024,0.1024,0.0236,0.0064
355,0.0024,0.1032,0.0236,0.0064
356,0.0024,0.1028,0.0232,0.006
357,0.0024,0.1048,0.0236,0.0064
358,0.0024,0.1036,0.024,0.0064
359,0.0024,0.1024,0.0232,0.0068
