,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0001
10,0.0001
11,0.0001
12,0.0001
13,0.0001
14,0.0001
15,0.0002
16,0.0002
17,0.0002
18,0.0002
19,0.0002
20,0.0002
21,0.0002
22,0.0002
23,0.0003
24,0.0003
25,0.0004
26,0.0004
27,0.0004
28,0.0004
29,0.0004
30,0.0004
31,0.0004
32,0.0005
33,0.0005
34,0.0005
35,0.0005
36,0.0005
37,0.0005
38,0.0005
39,0.0005
40,0.0005
41,0.0006
42,0.0006
43,0.0007
44,0.0007
45,0.0007
46,0.0007
47,0.0007
48,0.0008
49,0.0008
50,0.0008
51,0.0008
52,0.0008
53,0.0008
54,0.0008
55,0.0009
56,0.0009
57,0.001
58,0.001
59,0.001
60,0.0011
61,0.0012666666666666666
62,0.0012666666666666666
63,0.0012666666666666666
64,0.0012666666666666666
65,0.0012666666666666666
66,0.0012666666666666666
67,0.0013666666666666666
68,0.0013666666666666666
69,0.0013666666666666666
70,0.0014666666666666667
71,0.0014666666666666667
72,0.0015666666666666667
73,0.0015666666666666667
74,0.0015666666666666667
75,0.0016666666666666668
76,0.0018333333333333333
77,0.002033333333333333
78,0.002033333333333333
79,0.002033333333333333
80,0.0021333333333333334
81,0.0022333333333333333
82,0.0021333333333333334
83,0.0022
84,0.0022
85,0.0023
86,0.0023
87,0.0023
88,0.0023
89,0.0024
90,0.0025666666666666667
91,0.0026666666666666666
92,0.0026666666666666666
93,0.0026666666666666666
94,0.002766666666666667
95,0.0028666666666666667
96,0.0028666666666666667
97,0.0028666666666666667
98,0.0028666666666666667
99,0.0028666666666666667
100,0.0030666666666666668
101,0.0031666666666666666
102,0.0032333333333333333
103,0.0032333333333333333
104,0.0032333333333333333
105,0.0032333333333333333
106,0.0032333333333333333
107,0.0033666666666666667
108,0.0034666666666666665
109,0.0034666666666666665
110,0.0034666666666666665
111,0.0034666666666666665
112,0.0034666666666666665
113,0.0034666666666666665
114,0.0034666666666666665
115,0.0035666666666666668
116,0.0036666666666666666
117,0.0036666666666666666
118,0.0036666666666666666
119,0.0038666666666666667
120,0.0038666666666666667
121,0.0038666666666666667
122,0.0038666666666666667
123,0.004033333333333333
124,0.004033333333333333
125,0.0041333333333333335
126,0.0041333333333333335
127,0.0041333333333333335
128,0.0041333333333333335
129,0.0041333333333333335
130,0.0042
131,0.0042
132,0.004266666666666667
133,0.004366666666666666
134,0.004366666666666666
135,0.004533333333333334
136,0.004633333333333333
137,0.004633333333333333
138,0.004633333333333333
139,0.004633333333333333
140,0.004633333333333333
141,0.004733333333333333
142,0.0049
143,0.0049
144,0.0049
145,0.004966666666666667
146,0.005166666666666667
147,0.005266666666666667
148,0.005266666666666667
149,0.005333333333333333
150,0.0054
151,0.0054
152,0.0054
153,0.0055
154,0.0055
155,0.0055
156,0.005533333333333334
157,0.005533333333333334
158,0.005533333333333334
159,0.005633333333333333
160,0.0059
161,0.0059
162,0.0059
163,0.006
164,0.0061
165,0.0062
166,0.0064
167,0.0066
168,0.006666666666666667
169,0.006733333333333333
170,0.006833333333333334
171,0.006833333333333334
172,0.006833333333333334
173,0.006833333333333334
174,0.0068
175,0.0068
176,0.0068
177,0.006866666666666667
178,0.006933333333333333
179,0.007033333333333333
180,0.007033333333333333
181,0.0073
182,0.0074
183,0.007466666666666667
184,0.007566666666666667
185,0.0077666666666666665
186,0.007866666666666666
187,0.007933333333333334
188,0.007833333333333333
189,0.0079
190,0.008
191,0.0081
192,0.0082
193,0.0081
194,0.0082
195,0.008366666666666666
196,0.008466666666666667
197,0.008533333333333334
198,0.0086
199,0.0086
200,0.0088
201,0.0087
202,0.0087
203,0.0087
204,0.009
205,0.009066666666666667
206,0.009166666666666667
207,0.009166666666666667
208,0.009233333333333333
209,0.009233333333333333
210,0.0094
211,0.009533333333333333
212,0.0096
213,0.0096
214,0.0095
215,0.009633333333333334
216,0.009833333333333333
217,0.009966666666666667
218,0.010033333333333333
219,0.0102
220,0.0102
221,0.0102
222,0.0103
223,0.0104
224,0.0104
225,0.0104
226,0.0106
227,0.010666666666666666
228,0.010766666666666667
229,0.010666666666666666
230,0.010766666666666667
231,0.010866666666666667
232,0.010966666666666666
233,0.010966666666666666
234,0.011033333333333332
235,0.011133333333333334
236,0.011233333333333333
237,0.011433333333333334
238,0.0115
239,0.0115
240,0.011633333333333334
241,0.011533333333333333
242,0.011533333333333333
243,0.011533333333333333
244,0.0116
245,0.011733333333333333
246,0.0118
247,0.011866666666666666
248,0.012033333333333333
249,0.012033333333333333
250,0.012133333333333333
251,0.0122
252,0.012266666666666667
253,0.012333333333333333
254,0.012533333333333334
255,0.012566666666666667
256,0.012666666666666666
257,0.012733333333333333
258,0.0128
259,0.012933333333333333
260,0.013133333333333334
261,0.013133333333333334
262,0.013233333333333333
263,0.0134
264,0.013566666666666666
265,0.0135
266,0.0135
267,0.013666666666666667
268,0.013766666666666667
269,0.0139
270,0.014166666666666666
271,0.014166666666666666
272,0.014233333333333334
273,0.014233333333333334
274,0.0143
275,0.0144
276,0.0145
277,0.014566666666666667
278,0.014566666666666667
279,0.014733333333333333
280,0.014733333333333333
281,0.0148
282,0.015066666666666667
283,0.0153
284,0.015333333333333332
285,0.015366666666666667
286,0.015366666666666667
287,0.015566666666666666
288,0.015666666666666666
289,0.015666666666666666
290,0.015566666666666666
291,0.015466666666666667
292,0.015733333333333332
293,0.015933333333333334
294,0.016133333333333333
295,0.01633333333333333
296,0.0163
297,0.0164
298,0.0164
299,0.0164
300,0.0164
301,0.0165
302,0.016733333333333333
303,0.0169
304,0.0169
305,0.0169
306,0.016966666666666668
307,0.016966666666666668
308,0.017133333333333334
309,0.017133333333333334
310,0.0171
311,0.017266666666666666
312,0.017266666666666666
313,0.017333333333333333
314,0.017333333333333333
315,0.017433333333333332
316,0.0175
317,0.017566666666666668
318,0.017666666666666667
319,0.017733333333333334
320,0.0179
321,0.01806666666666667
322,0.0182
323,0.018266666666666667
324,0.0184
325,0.018466666666666666
326,0.018666666666666668
327,0.018733333333333334
328,0.018733333333333334
329,0.018833333333333334
330,0.019066666666666666
331,0.0191
332,0.0193
333,0.0192
334,0.019366666666666667
335,0.0195
336,0.019633333333333332
337,0.019733333333333332
338,0.0197
339,0.0197
340,0.020033333333333334
341,0.0201
342,0.0201
343,0.0202
344,0.0202
345,0.02036666666666667
346,0.020433333333333335
347,0.020466666666666668
348,0.020533333333333334
349,0.020533333333333334
350,0.020533333333333334
351,0.020533333333333334
352,0.0206
353,0.020566666666666667
354,0.020666666666666667
355,0.020966666666666668
356,0.021066666666666668
357,0.021066666666666668
358,0.021233333333333333
359,0.0213
360,0.021366666666666666
361,0.0213
362,0.021433333333333332
363,0.021433333333333332
364,0.0215
365,0.021566666666666668
