,M+1,M+2,M+3,M+4
176,0.002,0.144,0.008,0.006
177,0.002,0.15,0.008,0.006
178,0.002,0.144,0.008,0.006
179,0.002,0.148,0.008,0.006
180,0.002,0.142,0.008,0.01
181,0.002,0.142,0.008,0.01
182,0.002,0.14,0.008,0.012
183,0.002,0.15,0.008,0.012
184,0.002,0.154,0.008,0.012
185,0.002,0.158,0.008,0.012
186,0.002,0.156,0.008,0.012
187,0.002,0.154,0.008,0.012
188,0.0,0.154,0.008,0.012
189,0.0,0.158,0.008,0.012
190,0.0,0.16,0.008,0.01
191,0.0,0.164,0.006,0.01
192,0.0,0.162,0.006,0.01
193,0.0,0.162,0.006,0.01
194,0.0,0.154,0.006,0.01
195,0.0,0.154,0.006,0.008
196,0.0,0.16,0.006,0.008
197,0.002,0.162,0.006,0.008
198,0.002,0.166,0.006,0.008
199,0.002,0.166,0.006,0.008
200,0.002,0.162,0.006,0.008
201,0.002,0.162,0.006,0.008
202,0.002,0.162,0.006,0.008
203,0.002,0.154,0.006,0.008
204,0.002,0.154,0.006,0.008
205,0.002,0.154,0.006,0.008
206,0.002,0.144,0.006,0.008
207,0.002,0.14,0.006,0.008
208,0.002,0.144,0.006,0.01
209,0.002,0.148,0.006,0.01
210,0.002,0.146,0.006,0.01
211,0.002,0.144,0.006,0.01
212,0.002,0.142,0.006,0.01
213,0.004,0.142,0.006,0.012
214,0.004,0.14,0.006,0.012
215,0.004,0.142,0.006,0.01
216,0.004,0.144,0.006,0.01
217,0.004,0.146,0.006,0.01
218,0.004,0.14,0.006,0.01
219,0.004,0.142,0.006,0.01
220,0.004,0.144,0.006,0.01
221,0.004,0.144,0.006,0.01
222,0.004,0.146,0.004,0.01
223,0.004,0.144,0.004,0.01
224,0.004,0.146,0.004,0.012
225,0.004,0.146,0.004,0.012
226,0.004,0.146,0.004,0.012
227,0.004,0.144,0.004,0.01
228,0.004,0.148,0.004,0.01
229,0.004,0.142,0.006,0.01
230,0.004,0.136,0.006,0.01
231,0.004,0.144,0.006,0.008
232,0.004,0.142,0.006,0.008
233,0.004,0.136,0.006,0.008
234,0.004,0.136,0.006,0.008
235,0.004,0.14,0.006,0.006
236,0.004,0.14,0.006,0.006
237,0.002,0.14,0.006,0.006
238,0.002,0.142,0.004,0.008
239,0.002,0.144,0.006,0.006
240,0.002,0.148,0.008,0.006
241,0.002,0.142,0.008,0.008
242,0.002,0.142,0.006,0.008
243,0.002,0.138,0.008,0.008
244,0.002,0.148,0.008,0.008
245,0.002,0.144,0.008,0.008
246,0.004,0.144,0.008,0.006
247,0.004,0.144,0.008,0.006
248,0.004,0.146,0.008,0.006
249,0.004,0.144,0.008,0.008
250,0.002,0.148,0.008,0.008
251,0.002,0.15,0.008,0.008
252,0.002,0.152,0.008,0.008
253,0.002,0.152,0.008,0.008
254,0.002,0.146,0.008,0.008
255,0.002,0.148,0.008,0.008
256,0.002,0.158,0.008,0.008
257,0.002,0.154,0.008,0.006
258,0.002,0.148,0.008,0.008
259,0.002,0.142,0.006,0.008
260,0.002,0.148,0.006,0.008
261,0.002,0.144,0.006,0.008
262,0.004,0.142,0.004,0.008
263,0.004,0.142,0.004,0.006
264,0.004,0.14,0.002,0.008
265,0.004,0.142,0.002,0.008
