,M+1,M+2,M+3
0,0.0,0.0,1.0
1,0.0,0.0,1.0
2,0.0,0.0,1.0
3,0.0,0.0,1.0
4,0.0,0.0,1.0
5,0.0,0.0,1.0
6,0.0,0.0,1.0
7,0.0,0.0,1.0
8,0.0,0.0,1.0
9,0.0,0.0,1.0
10,0.0,0.0,1.0
11,0.0,0.0,1.0
12,0.0,0.0,1.0
13,0.0,0.0,1.0
14,0.0,0.0,1.0
15,0.0,0.0,1.0
16,0.0,0.0,1.0
17,0.0,0.0,1.0
18,0.0,0.0,1.0
19,0.0,0.0,1.0
20,0.0,0.0,1.0
21,0.0,0.0,1.0
22,0.0,0.0,1.0
23,0.0,0.0,1.0
24,0.0,0.0,1.0
25,0.0,0.0,1.0
26,0.0,0.0,1.0
27,0.0,0.0,1.0
28,0.0,0.0,1.0
29,0.0,0.0,1.0
30,0.0,0.0,1.0
31,0.0,0.0,1.0
32,0.0,0.0,1.0
33,0.0,0.0,1.0
34,0.0,0.0,1.0
35,0.0,0.0,1.0
36,0.0,0.0,1.0
37,0.0,0.0,1.0
38,0.0,0.0,1.0
39,0.0,0.0,1.0
40,0.0,0.0,1.0
41,0.0,0.0,1.0
42,0.0,0.0,1.0
43,0.0,0.0,1.0
44,0.0,0.0,1.0
45,0.0,0.0,1.0
46,0.0,0.0,1.0
47,0.0,0.0,1.0
48,0.0,0.0,1.0
49,0.0,0.0,1.0
50,0.0,0.0,1.0
51,0.0,0.0,1.0
52,0.0,0.0,1.0
53,0.0,0.0,1.0
54,0.0020491803278688526,0.0,0.9979508196721312
55,0.0020161290322580645,0.0,0.9979838709677419
56,0.001988071570576541,0.0,0.9980119284294234
57,0.0019646365422396855,0.0,0.9980353634577603
58,0.0019342359767891683,0.0,0.9980657640232108
59,0.0019011406844106464,0.0,0.9980988593155894
60,0.0037313432835820895,0.0,0.996268656716418
61,0.003676470588235294,0.0,0.9963235294117647
62,0.003623188405797101,0.0018115942028985505,0.9945652173913043
63,0.0035587188612099642,0.0017793594306049821,0.994661921708185
64,0.003521126760563381,0.0017605633802816904,0.9947183098591549
65,0.0034722222222222225,0.0017361111111111112,0.9947916666666666
66,0.0034188034188034192,0.0017094017094017096,0.9948717948717949
67,0.0033783783783783786,0.0016891891891891893,0.9949324324324325
68,0.0033333333333333335,0.0016666666666666668,0.995
69,0.0032840722495894913,0.0016420361247947456,0.9950738916256158
70,0.003257328990228013,0.0016286644951140066,0.995114006514658
71,0.003215434083601286,0.001607717041800643,0.9951768488745981
72,0.003169572107765452,0.001584786053882726,0.9952456418383518
73,0.003125,0.0015625,0.9953125
74,0.0030816640986132513,0.0015408320493066256,0.9953775038520801
75,0.0030349013657056147,0.0015174506828528073,0.9954476479514416
76,0.0029985007496251873,0.0014992503748125937,0.9955022488755623
77,0.002954209748892171,0.0014771048744460856,0.9955686853766618
78,0.004366812227074236,0.0014556040756914118,0.9941775836972343
79,0.004322766570605188,0.0014409221902017292,0.9942363112391931
80,0.0042796005706134095,0.0014265335235378032,0.9942938659058488
81,0.004231311706629055,0.0014104372355430185,0.9943582510578279
82,0.004184100418410042,0.0013947001394700141,0.9944211994421199
83,0.004137931034482759,0.0013793103448275863,0.9944827586206897
84,0.004098360655737705,0.001366120218579235,0.994535519125683
85,0.0040650406504065045,0.0013550135501355014,0.994579945799458
86,0.004026845637583893,0.0013422818791946308,0.9946308724832215
87,0.003989361702127659,0.0013297872340425532,0.9946808510638298
88,0.003942181340341655,0.001314060446780552,0.9947437582128777
89,0.00390625,0.0013020833333333333,0.9947916666666666
90,0.003861003861003861,0.001287001287001287,0.9948519948519948
91,0.0050890585241730275,0.0012722646310432569,0.9936386768447837
92,0.007537688442211055,0.001256281407035176,0.9912060301507538
93,0.0074719800747198,0.0012453300124533001,0.9912826899128269
94,0.007389162561576354,0.0024630541871921183,0.9901477832512315
95,0.007334963325183374,0.0024449877750611247,0.9902200488997555
96,0.007272727272727274,0.0024242424242424242,0.9903030303030302
97,0.00841346153846154,0.002403846153846154,0.9891826923076923
98,0.008333333333333333,0.002380952380952381,0.9892857142857143
99,0.008254716981132075,0.003537735849056604,0.9882075471698113
100,0.008206330597889801,0.0035169988276670576,0.9882766705744431
101,0.008149010477299186,0.0034924330616996507,0.9883585564610011
102,0.009205983889528193,0.0034522439585730727,0.9873417721518988
103,0.009142857142857144,0.003428571428571429,0.9874285714285714
104,0.009060022650056626,0.0033975084937712344,0.9875424688561721
105,0.008988764044943821,0.0033707865168539327,0.9876404494382023
106,0.008908685968819599,0.0033407572383073497,0.987750556792873
107,0.008839779005524863,0.0033149171270718232,0.9878453038674033
108,0.008791208791208791,0.0032967032967032967,0.987912087912088
109,0.00982532751091703,0.0032751091703056767,0.9868995633187773
110,0.009750812567713974,0.0032502708559046588,0.9869989165763814
111,0.00972972972972973,0.003243243243243243,0.987027027027027
112,0.00963597430406852,0.0032119914346895075,0.987152034261242
113,0.010604453870625662,0.0031813361611876985,0.9862142099681867
114,0.013641133263378803,0.003147953830010493,0.9832109129066107
115,0.013569937369519832,0.003131524008350731,0.9832985386221295
116,0.014537902388369679,0.0031152647975077885,0.9823468328141225
117,0.014462809917355372,0.0030991735537190084,0.9824380165289256
118,0.014344262295081968,0.0030737704918032786,0.9825819672131147
119,0.014256619144602852,0.003054989816700611,0.9826883910386965
120,0.014155712841253791,0.003033367037411527,0.9828109201213346
121,0.014084507042253521,0.003018108651911469,0.982897384305835
122,0.014028056112224449,0.003006012024048096,0.9829659318637275
123,0.01393034825870647,0.002985074626865672,0.983084577114428
