,M+1,M+2,M+3,M+4,M+5
5115,0.0,0.6818181818181818,0.18181818181818182,0.13636363636363635,0.0
5116,0.0,0.6521739130434782,0.21739130434782608,0.13043478260869565,0.0
5117,0.0,0.6,0.16,0.2,0.04
5118,0.0,0.6153846153846154,0.11538461538461538,0.19230769230769232,0.07692307692307693
5119,0.0,0.6666666666666666,0.041666666666666664,0.24999999999999997,0.041666666666666664
5120,0.0,0.7407407407407407,0.037037037037037035,0.18518518518518517,0.037037037037037035
5121,0.0,0.7857142857142857,0.07142857142857142,0.10714285714285712,0.03571428571428571
5122,0.0,0.7692307692307693,0.07692307692307693,0.11538461538461538,0.038461538461538464
5123,0.0,0.782608695652174,0.08695652173913045,0.08695652173913045,0.04347826086956522
5124,0.0,0.7391304347826088,0.2608695652173913,0.0,0.0
5125,0.0,0.6923076923076923,0.15384615384615385,0.07692307692307693,0.07692307692307693
5126,0.0,0.6923076923076923,0.11538461538461538,0.07692307692307693,0.11538461538461538
5127,0.0,0.72,0.08,0.16,0.04
5128,0.0,0.6363636363636365,0.045454545454545456,0.2272727272727273,0.09090909090909091
5129,0.0,0.6818181818181818,0.045454545454545456,0.18181818181818182,0.09090909090909091
5130,0.0,0.6666666666666666,0.12499999999999999,0.16666666666666666,0.041666666666666664
5131,0.0,0.75,0.125,0.08333333333333334,0.04166666666666667
5132,0.0,0.7391304347826088,0.13043478260869565,0.08695652173913043,0.043478260869565216
5133,0.0,0.7727272727272727,0.13636363636363635,0.04545454545454545,0.04545454545454545
5134,0.0,0.761904761904762,0.14285714285714285,0.09523809523809525,0.0
5135,0.0,0.7000000000000001,0.15,0.15,0.0
5136,0.0,0.761904761904762,0.14285714285714285,0.09523809523809525,0.0
5137,0.0,0.736842105263158,0.15789473684210525,0.10526315789473684,0.0
5138,0.0,0.6956521739130435,0.21739130434782608,0.08695652173913043,0.0
5139,0.0,0.7037037037037037,0.2222222222222222,0.07407407407407407,0.0
5140,0.0,0.6451612903225805,0.2580645161290322,0.09677419354838708,0.0
5141,0.0,0.6249999999999999,0.28124999999999994,0.09374999999999997,0.0
5142,0.0,0.6206896551724137,0.27586206896551724,0.06896551724137931,0.034482758620689655
5143,0.0,0.6206896551724138,0.1724137931034483,0.1724137931034483,0.03448275862068966
5144,0.0,0.6451612903225807,0.22580645161290325,0.12903225806451613,0.0
5145,0.0,0.7142857142857143,0.21428571428571425,0.07142857142857142,0.0
5146,0.0,0.6774193548387096,0.1935483870967742,0.12903225806451613,0.0
5147,0.0,0.71875,0.15625,0.125,0.0
5148,0.0,0.6874999999999999,0.18749999999999994,0.09374999999999997,0.031249999999999993
5149,0.0,0.6296296296296297,0.2222222222222222,0.14814814814814814,0.0
