,M+1,M+2,M+3,M+4,M+5
168,0.0,0.26,0.06,0.16,0.0
169,0.0,0.28,0.06,0.14,0.0
170,0.0,0.28,0.06,0.14,0.0
171,0.0,0.3,0.04,0.16,0.0
172,0.0,0.26,0.06,0.18,0.02
173,0.0,0.24,0.06,0.2,0.02
174,0.0,0.24,0.06,0.22,0.02
175,0.0,0.24,0.06,0.2,0.02
176,0.0,0.24,0.06,0.2,0.02
177,0.0,0.28,0.06,0.18,0.02
178,0.0,0.24,0.08,0.18,0.02
179,0.0,0.28,0.08,0.12,0.02
180,0.0,0.3,0.08,0.12,0.0
181,0.0,0.32,0.06,0.08,0.0
182,0.0,0.38,0.06,0.06,0.02
183,0.0,0.4,0.06,0.02,0.04
184,0.0,0.4,0.04,0.06,0.04
185,0.0,0.38,0.04,0.06,0.04
186,0.0,0.36,0.02,0.08,0.02
187,0.0,0.38,0.04,0.08,0.0
188,0.0,0.4,0.04,0.08,0.0
189,0.0,0.34,0.06,0.06,0.02
190,0.0,0.32,0.06,0.06,0.02
191,0.0,0.34,0.02,0.06,0.02
192,0.0,0.32,0.0,0.08,0.02
193,0.0,0.34,0.0,0.08,0.02
194,0.0,0.38,0.0,0.04,0.0
195,0.0,0.38,0.0,0.04,0.02
196,0.0,0.34,0.02,0.06,0.02
197,0.0,0.36,0.02,0.08,0.02
198,0.0,0.3,0.04,0.12,0.02
199,0.0,0.24,0.06,0.14,0.02
200,0.0,0.24,0.06,0.18,0.04
201,0.0,0.26,0.06,0.14,0.06
202,0.0,0.32,0.04,0.14,0.02
203,0.0,0.38,0.04,0.12,0.0
204,0.0,0.32,0.06,0.2,0.0
205,0.0,0.32,0.08,0.14,0.0
206,0.0,0.3,0.1,0.1,0.0
207,0.0,0.3,0.14,0.08,0.0
208,0.0,0.28,0.16,0.06,0.0
209,0.0,0.28,0.16,0.06,0.02
210,0.0,0.34,0.12,0.06,0.02
211,0.0,0.34,0.1,0.06,0.02
212,0.0,0.26,0.16,0.08,0.02
213,0.0,0.26,0.18,0.06,0.04
214,0.0,0.24,0.14,0.1,0.04
215,0.0,0.24,0.16,0.12,0.02
