,M+1,M+2,M+3,M+4,M+5,M+6
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.1,0.0,0.0,0.0,0.0
2,0.0,0.2,0.0,0.0,0.0,0.0
3,0.0,0.3,0.0,0.0,0.0,0.0
4,0.0,0.36,0.0,0.0,0.0,0.0
5,0.0,0.4,0.0,0.0,0.0,0.0
6,0.0,0.48,0.0,0.0,0.0,0.0
7,0.0,0.56,0.0,0.0,0.0,0.0
8,0.0,0.6,0.0,0.0,0.0,0.0
9,0.0,0.68,0.0,0.0,0.0,0.0
10,0.0,0.72,0.0,0.0,0.0,0.0
11,0.0,0.72,0.0,0.0,0.0,0.0
12,0.0,0.74,0.0,0.0,0.0,0.0
13,0.0,0.78,0.0,0.0,0.0,0.0
14,0.0,0.78,0.0,0.0,0.0,0.0
15,0.0,0.8,0.0,0.0,0.0,0.0
16,0.0,0.82,0.0,0.02,0.0,0.0
17,0.0,0.84,0.0,0.02,0.0,0.0
18,0.0,0.86,0.0,0.02,0.0,0.0
19,0.0,0.84,0.0,0.06,0.0,0.0
20,0.0,0.84,0.0,0.06,0.0,0.0
21,0.0,0.86,0.0,0.04,0.0,0.0
22,0.0,0.86,0.0,0.06,0.0,0.0
23,0.0,0.86,0.0,0.06,0.0,0.0
24,0.0,0.84,0.0,0.08,0.0,0.0
25,0.0,0.88,0.0,0.08,0.0,0.0
26,0.0,0.88,0.0,0.08,0.0,0.0
27,0.0,0.86,0.0,0.1,0.0,0.0
28,0.0,0.88,0.0,0.08,0.0,0.0
29,0.0,0.86,0.0,0.1,0.0,0.0
30,0.0,0.8,0.0,0.16,0.0,0.0
31,0.0,0.78,0.0,0.18,0.0,0.0
32,0.0,0.78,0.0,0.18,0.0,0.0
33,0.0,0.78,0.0,0.18,0.0,0.0
34,0.0,0.74,0.0,0.22,0.0,0.0
35,0.0,0.72,0.0,0.24,0.0,0.0
36,0.0,0.68,0.0,0.28,0.0,0.0
37,0.0,0.66,0.0,0.3,0.0,0.0
