,M+1,M+2,M+3,M+4
176,0.0,0.24,0.12,0.02
177,0.0,0.24,0.12,0.02
178,0.0,0.26,0.14,0.02
179,0.0,0.26,0.16,0.02
180,0.0,0.24,0.16,0.02
181,0.0,0.26,0.18,0.02
182,0.0,0.3,0.24,0.02
183,0.0,0.36,0.18,0.02
184,0.0,0.36,0.14,0.02
185,0.0,0.32,0.18,0.02
186,0.0,0.32,0.18,0.02
187,0.0,0.32,0.18,0.02
188,0.0,0.4,0.2,0.0
189,0.0,0.38,0.2,0.04
190,0.0,0.46,0.16,0.04
191,0.0,0.42,0.18,0.06
192,0.0,0.4,0.2,0.06
193,0.0,0.4,0.22,0.06
194,0.0,0.44,0.18,0.06
195,0.0,0.44,0.16,0.06
196,0.0,0.44,0.12,0.06
197,0.0,0.42,0.12,0.08
198,0.0,0.4,0.12,0.08
199,0.0,0.4,0.1,0.08
200,0.0,0.4,0.12,0.06
201,0.0,0.46,0.1,0.04
202,0.0,0.46,0.1,0.04
203,0.0,0.5,0.08,0.02
204,0.0,0.48,0.08,0.02
205,0.0,0.44,0.08,0.02
206,0.0,0.48,0.1,0.0
207,0.0,0.42,0.1,0.0
208,0.0,0.44,0.12,0.0
209,0.0,0.48,0.14,0.0
210,0.0,0.46,0.14,0.0
211,0.0,0.44,0.12,0.0
212,0.0,0.4,0.12,0.0
213,0.0,0.34,0.12,0.0
214,0.0,0.3,0.12,0.02
215,0.0,0.32,0.08,0.02
216,0.0,0.28,0.1,0.02
217,0.0,0.3,0.12,0.02
218,0.0,0.3,0.14,0.02
219,0.0,0.34,0.14,0.02
220,0.0,0.32,0.12,0.04
221,0.0,0.3,0.12,0.06
222,0.0,0.28,0.12,0.06
223,0.0,0.28,0.08,0.06
224,0.0,0.26,0.08,0.06
225,0.0,0.26,0.12,0.06
226,0.0,0.24,0.12,0.04
227,0.0,0.24,0.12,0.06
228,0.0,0.2,0.1,0.04
229,0.0,0.22,0.12,0.04
230,0.0,0.22,0.1,0.02
231,0.0,0.24,0.1,0.02
232,0.0,0.26,0.12,0.02
233,0.0,0.2,0.2,0.02
234,0.0,0.22,0.2,0.02
235,0.0,0.24,0.22,0.02
236,0.0,0.24,0.24,0.0
237,0.0,0.22,0.28,0.02
238,0.0,0.24,0.28,0.02
239,0.0,0.2,0.32,0.04
240,0.0,0.22,0.34,0.04
241,0.0,0.22,0.32,0.04
242,0.0,0.3,0.28,0.02
243,0.0,0.28,0.28,0.04
244,0.0,0.32,0.28,0.04
245,0.0,0.32,0.3,0.06
246,0.0,0.32,0.3,0.06
247,0.0,0.3,0.34,0.06
248,0.0,0.32,0.32,0.06
249,0.0,0.32,0.3,0.06
250,0.0,0.32,0.28,0.06
251,0.0,0.36,0.28,0.06
252,0.0,0.36,0.28,0.06
253,0.0,0.36,0.28,0.06
254,0.0,0.32,0.28,0.08
255,0.0,0.3,0.3,0.08
256,0.0,0.32,0.28,0.08
257,0.0,0.32,0.24,0.06
258,0.0,0.32,0.24,0.06
259,0.0,0.26,0.28,0.06
260,0.0,0.22,0.3,0.06
261,0.0,0.2,0.3,0.04
262,0.0,0.2,0.28,0.02
263,0.0,0.16,0.32,0.02
264,0.0,0.16,0.3,0.02
265,0.0,0.12,0.3,0.02
266,0.0,0.1,0.32,0.02
267,0.0,0.12,0.3,0.04
268,0.0,0.14,0.26,0.04
269,0.0,0.16,0.26,0.04
270,0.0,0.14,0.26,0.04
271,0.0,0.14,0.26,0.02
272,0.0,0.18,0.24,0.02
273,0.0,0.16,0.24,0.02
274,0.0,0.2,0.2,0.02
275,0.0,0.18,0.18,0.02
276,0.0,0.16,0.18,0.02
277,0.0,0.14,0.18,0.02
278,0.0,0.1,0.18,0.02
279,0.0,0.12,0.22,0.02
280,0.0,0.16,0.22,0.02
281,0.0,0.16,0.2,0.04
282,0.0,0.16,0.18,0.06
283,0.0,0.14,0.2,0.08
284,0.0,0.18,0.2,0.06
